Product,Quantity Ordered,Price Each,Month,Hour,Day,City,Revenue
USB-C Charging Cable,2.0,11.95,4,8,Friday,Dallas,23.9
Bose SoundSport Headphones,1.0,99.99,4,22,Sunday,Boston,99.99
Google Phone,1.0,600.0,4,14,Friday,Los Angeles,600.0
Wired Headphones,1.0,11.99,4,14,Friday,Los Angeles,11.99
Wired Headphones,1.0,11.99,4,9,Tuesday,Los Angeles,11.99
USB-C Charging Cable,1.0,11.95,4,13,Monday,San Francisco,11.95
Bose SoundSport Headphones,1.0,99.99,4,7,Tuesday,Seattle,99.99
USB-C Charging Cable,1.0,11.95,4,10,Friday,Atlanta,11.95
Macbook Pro Laptop,1.0,1700.0,4,10,Wednesday,San Francisco,1700.0
Wired Headphones,1.0,11.99,4,14,Monday,Boston,11.99
Google Phone,1.0,600.0,4,17,Thursday,Los Angeles,600.0
Lightning Charging Cable,1.0,14.95,4,12,Monday,Seattle,14.95
27in 4K Gaming Monitor,1.0,389.99,4,19,Tuesday,Dallas,389.99
AA Batteries (4-pack),1.0,3.84,4,15,Monday,Dallas,3.84
Lightning Charging Cable,1.0,14.95,4,14,Friday,Atlanta,14.95
Apple Airpods Headphones,1.0,150.0,4,20,Thursday,New York City,150.0
USB-C Charging Cable,1.0,11.95,4,18,Saturday,San Francisco,11.95
Google Phone,1.0,600.0,4,19,Wednesday,Los Angeles,600.0
USB-C Charging Cable,1.0,11.95,4,19,Wednesday,Los Angeles,11.95
AAA Batteries (4-pack),1.0,2.99,4,0,Saturday,New York City,2.99
Apple Airpods Headphones,1.0,150.0,4,11,Sunday,Los Angeles,150.0
Apple Airpods Headphones,1.0,150.0,4,19,Thursday,Dallas,150.0
Apple Airpods Headphones,1.0,150.0,4,23,Tuesday,Boston,150.0
AA Batteries (4-pack),1.0,3.84,4,10,Thursday,New York City,3.84
USB-C Charging Cable,1.0,11.95,4,0,Friday,Los Angeles,11.95
iPhone,1.0,700.0,4,21,Tuesday,Boston,700.0
Bose SoundSport Headphones,1.0,99.99,4,12,Saturday,Atlanta,99.99
AAA Batteries (4-pack),2.0,2.99,4,12,Saturday,Portland,5.98
Flatscreen TV,1.0,300.0,4,20,Wednesday,San Francisco,300.0
Bose SoundSport Headphones,1.0,99.99,4,11,Sunday,Boston,99.99
AAA Batteries (4-pack),2.0,2.99,4,17,Wednesday,San Francisco,5.98
Google Phone,1.0,600.0,4,17,Wednesday,San Francisco,600.0
27in FHD Monitor,1.0,149.99,4,19,Monday,Los Angeles,149.99
20in Monitor,1.0,109.99,4,4,Tuesday,Seattle,109.99
Lightning Charging Cable,1.0,14.95,4,12,Thursday,Atlanta,14.95
Google Phone,1.0,600.0,4,11,Thursday,New York City,600.0
Apple Airpods Headphones,1.0,150.0,4,7,Sunday,Austin,150.0
USB-C Charging Cable,1.0,11.95,4,13,Saturday,Los Angeles,11.95
Lightning Charging Cable,2.0,14.95,4,13,Monday,Portland,29.9
Wired Headphones,1.0,11.99,4,23,Wednesday,San Francisco,11.99
Wired Headphones,3.0,11.99,4,9,Tuesday,Los Angeles,35.97
Apple Airpods Headphones,1.0,150.0,4,20,Saturday,Dallas,150.0
USB-C Charging Cable,1.0,11.95,4,13,Friday,San Francisco,11.95
AAA Batteries (4-pack),2.0,2.99,4,20,Sunday,San Francisco,5.98
Lightning Charging Cable,1.0,14.95,4,15,Thursday,New York City,14.95
27in 4K Gaming Monitor,1.0,389.99,4,15,Tuesday,Boston,389.99
USB-C Charging Cable,1.0,11.95,4,22,Tuesday,Los Angeles,11.95
Lightning Charging Cable,1.0,14.95,4,9,Tuesday,Dallas,14.95
USB-C Charging Cable,1.0,11.95,4,7,Monday,San Francisco,11.95
USB-C Charging Cable,1.0,11.95,4,10,Tuesday,San Francisco,11.95
USB-C Charging Cable,1.0,11.95,4,16,Monday,San Francisco,11.95
LG Dryer,1.0,600.0,4,14,Sunday,San Francisco,600.0
AAA Batteries (4-pack),2.0,2.99,4,12,Thursday,Boston,5.98
iPhone,1.0,700.0,4,12,Thursday,San Francisco,700.0
Apple Airpods Headphones,1.0,150.0,4,16,Thursday,Austin,150.0
AAA Batteries (4-pack),1.0,2.99,4,0,Friday,Dallas,2.99
Bose SoundSport Headphones,1.0,99.99,4,13,Tuesday,San Francisco,99.99
Apple Airpods Headphones,1.0,150.0,4,19,Thursday,Seattle,150.0
USB-C Charging Cable,2.0,11.95,4,18,Friday,New York City,23.9
AA Batteries (4-pack),1.0,3.84,4,21,Sunday,San Francisco,3.84
Lightning Charging Cable,1.0,14.95,4,10,Tuesday,Dallas,14.95
USB-C Charging Cable,1.0,11.95,4,20,Friday,San Francisco,11.95
Apple Airpods Headphones,1.0,150.0,4,8,Thursday,Portland,150.0
Lightning Charging Cable,2.0,14.95,4,21,Thursday,San Francisco,29.9
Flatscreen TV,1.0,300.0,4,18,Tuesday,Los Angeles,300.0
USB-C Charging Cable,1.0,11.95,4,10,Wednesday,Los Angeles,11.95
Lightning Charging Cable,1.0,14.95,4,16,Thursday,Boston,14.95
AA Batteries (4-pack),1.0,3.84,4,20,Thursday,San Francisco,3.84
27in FHD Monitor,1.0,149.99,4,23,Saturday,Atlanta,149.99
AA Batteries (4-pack),1.0,3.84,4,10,Sunday,Seattle,3.84
AAA Batteries (4-pack),2.0,2.99,4,19,Wednesday,San Francisco,5.98
Bose SoundSport Headphones,1.0,99.99,4,21,Monday,Boston,99.99
Wired Headphones,1.0,11.99,4,14,Sunday,Atlanta,11.99
Lightning Charging Cable,2.0,14.95,4,4,Monday,Dallas,29.9
USB-C Charging Cable,1.0,11.95,4,11,Wednesday,San Francisco,11.95
Google Phone,1.0,600.0,4,5,Wednesday,San Francisco,600.0
USB-C Charging Cable,1.0,11.95,4,18,Saturday,San Francisco,11.95
AAA Batteries (4-pack),1.0,2.99,4,14,Sunday,San Francisco,2.99
ThinkPad Laptop,1.0,999.99,4,14,Tuesday,Los Angeles,999.99
Lightning Charging Cable,1.0,14.95,4,8,Wednesday,Atlanta,14.95
Vareebadd Phone,1.0,400.0,4,9,Friday,San Francisco,400.0
AA Batteries (4-pack),1.0,3.84,4,20,Tuesday,Boston,3.84
AAA Batteries (4-pack),1.0,2.99,4,10,Wednesday,New York City,2.99
USB-C Charging Cable,1.0,11.95,4,8,Saturday,Boston,11.95
Macbook Pro Laptop,1.0,1700.0,4,16,Sunday,San Francisco,1700.0
Wired Headphones,2.0,11.99,4,22,Saturday,San Francisco,23.98
Lightning Charging Cable,1.0,14.95,4,21,Thursday,Boston,14.95
AA Batteries (4-pack),1.0,3.84,4,18,Wednesday,Portland,3.84
Macbook Pro Laptop,1.0,1700.0,4,21,Saturday,Boston,1700.0
USB-C Charging Cable,1.0,11.95,4,2,Tuesday,Los Angeles,11.95
AAA Batteries (4-pack),3.0,2.99,4,18,Friday,Dallas,8.97
Macbook Pro Laptop,1.0,1700.0,4,7,Monday,Portland,1700.0
Google Phone,1.0,600.0,4,19,Sunday,Los Angeles,600.0
27in FHD Monitor,1.0,149.99,4,1,Wednesday,Portland,149.99
USB-C Charging Cable,1.0,11.95,4,8,Tuesday,San Francisco,11.95
Lightning Charging Cable,1.0,14.95,4,16,Friday,Boston,14.95
iPhone,1.0,700.0,4,13,Sunday,Boston,700.0
LG Washing Machine,1.0,600.0,4,20,Tuesday,New York City,600.0
AA Batteries (4-pack),1.0,3.84,4,19,Friday,San Francisco,3.84
USB-C Charging Cable,1.0,11.95,4,19,Monday,Seattle,11.95
Apple Airpods Headphones,1.0,150.0,4,19,Thursday,San Francisco,150.0
Google Phone,1.0,600.0,4,16,Friday,New York City,600.0
ThinkPad Laptop,1.0,999.99,4,10,Tuesday,Los Angeles,999.99
AAA Batteries (4-pack),2.0,2.99,4,8,Monday,San Francisco,5.98
20in Monitor,1.0,109.99,4,14,Monday,Dallas,109.99
AA Batteries (4-pack),1.0,3.84,4,17,Tuesday,Boston,3.84
Wired Headphones,1.0,11.99,4,20,Thursday,Atlanta,11.99
34in Ultrawide Monitor,1.0,379.99,4,12,Friday,Portland,379.99
Bose SoundSport Headphones,1.0,99.99,4,11,Friday,Seattle,99.99
AAA Batteries (4-pack),1.0,2.99,4,18,Saturday,Los Angeles,2.99
ThinkPad Laptop,1.0,999.99,4,14,Sunday,Dallas,999.99
Wired Headphones,1.0,11.99,4,16,Monday,Seattle,11.99
27in 4K Gaming Monitor,1.0,389.99,4,0,Thursday,Los Angeles,389.99
AA Batteries (4-pack),1.0,3.84,4,20,Monday,Dallas,3.84
27in FHD Monitor,1.0,149.99,4,12,Monday,Dallas,149.99
Apple Airpods Headphones,1.0,150.0,4,21,Thursday,San Francisco,150.0
AAA Batteries (4-pack),2.0,2.99,4,16,Tuesday,New York City,5.98
Lightning Charging Cable,1.0,14.95,4,11,Friday,New York City,14.95
USB-C Charging Cable,1.0,11.95,4,11,Friday,New York City,11.95
20in Monitor,1.0,109.99,4,8,Wednesday,Boston,109.99
AAA Batteries (4-pack),3.0,2.99,4,20,Saturday,Austin,8.97
AAA Batteries (4-pack),1.0,2.99,4,9,Tuesday,Seattle,2.99
LG Dryer,1.0,600.0,4,0,Tuesday,Los Angeles,600.0
34in Ultrawide Monitor,1.0,379.99,4,11,Monday,Austin,379.99
AA Batteries (4-pack),2.0,3.84,4,22,Friday,San Francisco,7.68
Apple Airpods Headphones,1.0,150.0,4,11,Tuesday,Boston,150.0
USB-C Charging Cable,1.0,11.95,4,11,Saturday,Los Angeles,11.95
Apple Airpods Headphones,1.0,150.0,4,10,Saturday,Seattle,150.0
ThinkPad Laptop,1.0,999.99,4,10,Saturday,Seattle,999.99
Lightning Charging Cable,1.0,14.95,4,6,Saturday,Boston,14.95
AA Batteries (4-pack),1.0,3.84,4,13,Wednesday,Los Angeles,3.84
USB-C Charging Cable,1.0,11.95,4,0,Wednesday,Los Angeles,11.95
34in Ultrawide Monitor,1.0,379.99,4,22,Tuesday,New York City,379.99
Wired Headphones,1.0,11.99,4,15,Wednesday,Austin,11.99
Macbook Pro Laptop,1.0,1700.0,4,10,Tuesday,Los Angeles,1700.0
Flatscreen TV,1.0,300.0,4,18,Saturday,San Francisco,300.0
Bose SoundSport Headphones,1.0,99.99,4,17,Wednesday,New York City,99.99
AAA Batteries (4-pack),2.0,2.99,4,17,Wednesday,New York City,5.98
20in Monitor,1.0,109.99,4,18,Thursday,San Francisco,109.99
AAA Batteries (4-pack),1.0,2.99,4,11,Friday,Los Angeles,2.99
Wired Headphones,1.0,11.99,4,18,Monday,San Francisco,11.99
AA Batteries (4-pack),1.0,3.84,4,9,Monday,San Francisco,3.84
USB-C Charging Cable,1.0,11.95,4,20,Friday,Atlanta,11.95
AA Batteries (4-pack),2.0,3.84,4,20,Friday,Seattle,7.68
iPhone,1.0,700.0,4,12,Sunday,New York City,700.0
Wired Headphones,1.0,11.99,4,22,Saturday,New York City,11.99
Bose SoundSport Headphones,1.0,99.99,4,16,Tuesday,San Francisco,99.99
Bose SoundSport Headphones,1.0,99.99,4,18,Sunday,Boston,99.99
34in Ultrawide Monitor,1.0,379.99,4,23,Sunday,Dallas,379.99
USB-C Charging Cable,1.0,11.95,4,13,Thursday,Austin,11.95
AA Batteries (4-pack),1.0,3.84,4,19,Tuesday,Seattle,3.84
20in Monitor,1.0,109.99,4,10,Wednesday,New York City,109.99
AA Batteries (4-pack),2.0,3.84,4,10,Wednesday,Seattle,7.68
Lightning Charging Cable,2.0,14.95,4,9,Saturday,Austin,29.9
Lightning Charging Cable,1.0,14.95,4,13,Saturday,New York City,14.95
Apple Airpods Headphones,1.0,150.0,4,10,Saturday,Portland,150.0
Wired Headphones,1.0,11.99,4,23,Sunday,New York City,11.99
AA Batteries (4-pack),1.0,3.84,4,14,Wednesday,Dallas,3.84
20in Monitor,2.0,109.99,4,10,Sunday,Dallas,219.98
Flatscreen TV,1.0,300.0,4,10,Tuesday,Dallas,300.0
Google Phone,1.0,600.0,4,5,Saturday,San Francisco,600.0
Wired Headphones,1.0,11.99,4,10,Sunday,San Francisco,11.99
USB-C Charging Cable,1.0,11.95,4,23,Friday,Los Angeles,11.95
Apple Airpods Headphones,1.0,150.0,4,16,Saturday,San Francisco,150.0
Wired Headphones,1.0,11.99,4,14,Wednesday,Los Angeles,11.99
Apple Airpods Headphones,1.0,150.0,4,10,Friday,Atlanta,150.0
Lightning Charging Cable,1.0,14.95,4,19,Monday,Los Angeles,14.95
Flatscreen TV,1.0,300.0,4,13,Saturday,Boston,300.0
Lightning Charging Cable,1.0,14.95,4,10,Sunday,Portland,14.95
AAA Batteries (4-pack),1.0,2.99,4,21,Friday,San Francisco,2.99
27in 4K Gaming Monitor,1.0,389.99,4,10,Monday,New York City,389.99
27in 4K Gaming Monitor,1.0,389.99,4,21,Friday,Portland,389.99
Lightning Charging Cable,1.0,14.95,4,20,Friday,San Francisco,14.95
AA Batteries (4-pack),2.0,3.84,4,14,Monday,San Francisco,7.68
USB-C Charging Cable,1.0,11.95,4,18,Saturday,Los Angeles,11.95
Lightning Charging Cable,1.0,14.95,4,14,Sunday,Los Angeles,14.95
Lightning Charging Cable,1.0,14.95,4,7,Sunday,Atlanta,14.95
USB-C Charging Cable,1.0,11.95,4,9,Wednesday,Seattle,11.95
Bose SoundSport Headphones,1.0,99.99,4,8,Wednesday,New York City,99.99
AAA Batteries (4-pack),2.0,2.99,4,16,Sunday,San Francisco,5.98
iPhone,1.0,700.0,4,9,Tuesday,Dallas,700.0
20in Monitor,1.0,109.99,4,13,Thursday,San Francisco,109.99
Apple Airpods Headphones,1.0,150.0,4,22,Wednesday,New York City,150.0
27in FHD Monitor,1.0,149.99,4,23,Tuesday,Austin,149.99
AA Batteries (4-pack),1.0,3.84,4,11,Wednesday,Los Angeles,3.84
Apple Airpods Headphones,1.0,150.0,4,1,Sunday,Los Angeles,150.0
AA Batteries (4-pack),1.0,3.84,4,13,Wednesday,San Francisco,3.84
34in Ultrawide Monitor,1.0,379.99,4,17,Friday,Austin,379.99
Google Phone,1.0,600.0,4,17,Friday,Austin,600.0
Bose SoundSport Headphones,1.0,99.99,4,15,Wednesday,Dallas,99.99
USB-C Charging Cable,1.0,11.95,4,18,Monday,San Francisco,11.95
Wired Headphones,1.0,11.99,4,9,Wednesday,Los Angeles,11.99
27in 4K Gaming Monitor,1.0,389.99,4,9,Monday,Atlanta,389.99
Lightning Charging Cable,1.0,14.95,4,19,Sunday,Los Angeles,14.95
Wired Headphones,1.0,11.99,4,9,Wednesday,Los Angeles,11.99
27in 4K Gaming Monitor,1.0,389.99,4,19,Monday,Seattle,389.99
Macbook Pro Laptop,1.0,1700.0,4,15,Saturday,San Francisco,1700.0
Flatscreen TV,1.0,300.0,4,15,Wednesday,Boston,300.0
ThinkPad Laptop,1.0,999.99,4,7,Friday,Seattle,999.99
AA Batteries (4-pack),1.0,3.84,4,23,Saturday,Austin,3.84
AAA Batteries (4-pack),1.0,2.99,4,13,Thursday,San Francisco,2.99
AA Batteries (4-pack),1.0,3.84,4,23,Saturday,San Francisco,3.84
USB-C Charging Cable,1.0,11.95,4,23,Monday,Atlanta,11.95
34in Ultrawide Monitor,1.0,379.99,4,17,Tuesday,Los Angeles,379.99
27in 4K Gaming Monitor,1.0,389.99,4,16,Tuesday,Seattle,389.99
27in FHD Monitor,1.0,149.99,4,17,Friday,New York City,149.99
AA Batteries (4-pack),1.0,3.84,4,20,Thursday,Portland,3.84
34in Ultrawide Monitor,1.0,379.99,4,21,Thursday,San Francisco,379.99
Lightning Charging Cable,1.0,14.95,4,12,Saturday,Los Angeles,14.95
Wired Headphones,1.0,11.99,4,20,Tuesday,San Francisco,11.99
Apple Airpods Headphones,1.0,150.0,4,20,Friday,San Francisco,150.0
AA Batteries (4-pack),1.0,3.84,4,14,Thursday,Seattle,3.84
USB-C Charging Cable,1.0,11.95,4,13,Thursday,San Francisco,11.95
Wired Headphones,1.0,11.99,4,19,Tuesday,Atlanta,11.99
USB-C Charging Cable,1.0,11.95,4,20,Sunday,San Francisco,11.95
AA Batteries (4-pack),2.0,3.84,4,19,Sunday,Boston,7.68
27in 4K Gaming Monitor,1.0,389.99,4,14,Tuesday,Atlanta,389.99
Wired Headphones,1.0,11.99,4,0,Thursday,Los Angeles,11.99
AA Batteries (4-pack),1.0,3.84,4,14,Monday,San Francisco,3.84
Wired Headphones,1.0,11.99,4,17,Monday,San Francisco,11.99
Lightning Charging Cable,1.0,14.95,4,17,Wednesday,New York City,14.95
AA Batteries (4-pack),1.0,3.84,4,21,Wednesday,New York City,3.84
AAA Batteries (4-pack),2.0,2.99,4,20,Thursday,Portland,5.98
Lightning Charging Cable,1.0,14.95,4,15,Thursday,Los Angeles,14.95
USB-C Charging Cable,1.0,11.95,4,15,Thursday,Los Angeles,11.95
USB-C Charging Cable,2.0,11.95,4,20,Monday,San Francisco,23.9
Bose SoundSport Headphones,1.0,99.99,4,23,Wednesday,Seattle,99.99
Apple Airpods Headphones,1.0,150.0,4,16,Sunday,Portland,150.0
34in Ultrawide Monitor,1.0,379.99,4,17,Friday,San Francisco,379.99
27in FHD Monitor,1.0,149.99,4,16,Thursday,Atlanta,149.99
Lightning Charging Cable,1.0,14.95,4,23,Thursday,New York City,14.95
iPhone,1.0,700.0,4,7,Wednesday,Dallas,700.0
Lightning Charging Cable,1.0,14.95,4,7,Wednesday,Dallas,14.95
Apple Airpods Headphones,1.0,150.0,4,13,Monday,San Francisco,150.0
Apple Airpods Headphones,1.0,150.0,4,11,Friday,San Francisco,150.0
AAA Batteries (4-pack),1.0,2.99,4,10,Monday,Los Angeles,2.99
Bose SoundSport Headphones,1.0,99.99,4,15,Wednesday,Los Angeles,99.99
20in Monitor,1.0,109.99,4,16,Saturday,San Francisco,109.99
Google Phone,1.0,600.0,4,10,Sunday,Los Angeles,600.0
Bose SoundSport Headphones,1.0,99.99,4,4,Monday,New York City,99.99
Lightning Charging Cable,1.0,14.95,4,20,Sunday,San Francisco,14.95
AAA Batteries (4-pack),1.0,2.99,4,12,Sunday,Austin,2.99
Google Phone,1.0,600.0,4,11,Sunday,Los Angeles,600.0
27in 4K Gaming Monitor,1.0,389.99,4,19,Tuesday,Atlanta,389.99
Wired Headphones,1.0,11.99,4,17,Wednesday,San Francisco,11.99
Lightning Charging Cable,1.0,14.95,4,21,Wednesday,Dallas,14.95
Wired Headphones,1.0,11.99,4,11,Saturday,San Francisco,11.99
Bose SoundSport Headphones,1.0,99.99,4,8,Sunday,Los Angeles,99.99
Google Phone,1.0,600.0,4,8,Sunday,Los Angeles,600.0
Bose SoundSport Headphones,1.0,99.99,4,8,Sunday,Los Angeles,99.99
Wired Headphones,1.0,11.99,4,8,Sunday,Los Angeles,11.99
iPhone,1.0,700.0,4,10,Saturday,Atlanta,700.0
Wired Headphones,1.0,11.99,4,14,Wednesday,Portland,11.99
Lightning Charging Cable,1.0,14.95,4,11,Tuesday,Atlanta,14.95
Vareebadd Phone,1.0,400.0,4,18,Sunday,San Francisco,400.0
AA Batteries (4-pack),1.0,3.84,4,17,Monday,Boston,3.84
AA Batteries (4-pack),1.0,3.84,4,23,Monday,Austin,3.84
Bose SoundSport Headphones,1.0,99.99,4,21,Sunday,Seattle,99.99
Google Phone,1.0,600.0,4,15,Monday,Portland,600.0
USB-C Charging Cable,1.0,11.95,4,15,Monday,Portland,11.95
Macbook Pro Laptop,1.0,1700.0,4,13,Monday,Austin,1700.0
USB-C Charging Cable,1.0,11.95,4,17,Sunday,Seattle,11.95
Google Phone,1.0,600.0,4,18,Sunday,San Francisco,600.0
Wired Headphones,1.0,11.99,4,18,Sunday,San Francisco,11.99
Bose SoundSport Headphones,2.0,99.99,4,1,Friday,San Francisco,199.98
AAA Batteries (4-pack),1.0,2.99,4,14,Tuesday,Atlanta,2.99
AA Batteries (4-pack),2.0,3.84,4,23,Sunday,Dallas,7.68
Wired Headphones,1.0,11.99,4,16,Saturday,New York City,11.99
Google Phone,1.0,600.0,4,18,Sunday,Atlanta,600.0
Wired Headphones,1.0,11.99,4,18,Sunday,Atlanta,11.99
Lightning Charging Cable,1.0,14.95,4,12,Tuesday,New York City,14.95
AAA Batteries (4-pack),1.0,2.99,4,13,Thursday,San Francisco,2.99
27in 4K Gaming Monitor,1.0,389.99,4,20,Friday,Portland,389.99
Lightning Charging Cable,1.0,14.95,4,20,Friday,Seattle,14.95
Wired Headphones,1.0,11.99,4,2,Tuesday,San Francisco,11.99
AA Batteries (4-pack),2.0,3.84,4,5,Monday,Portland,7.68
USB-C Charging Cable,1.0,11.95,4,12,Wednesday,Boston,11.95
34in Ultrawide Monitor,1.0,379.99,4,15,Thursday,San Francisco,379.99
AAA Batteries (4-pack),1.0,2.99,4,19,Monday,Seattle,2.99
Wired Headphones,1.0,11.99,4,20,Saturday,Seattle,11.99
USB-C Charging Cable,2.0,11.95,4,13,Wednesday,Los Angeles,23.9
LG Washing Machine,1.0,600.0,4,22,Saturday,San Francisco,600.0
Bose SoundSport Headphones,1.0,99.99,4,0,Thursday,San Francisco,99.99
AAA Batteries (4-pack),1.0,2.99,4,13,Saturday,Los Angeles,2.99
iPhone,1.0,700.0,4,22,Sunday,Seattle,700.0
Wired Headphones,1.0,11.99,4,9,Tuesday,San Francisco,11.99
Wired Headphones,1.0,11.99,4,12,Thursday,Austin,11.99
USB-C Charging Cable,1.0,11.95,4,7,Monday,San Francisco,11.95
Apple Airpods Headphones,1.0,150.0,4,20,Friday,Los Angeles,150.0
Wired Headphones,1.0,11.99,4,19,Sunday,Boston,11.99
Lightning Charging Cable,1.0,14.95,4,20,Monday,San Francisco,14.95
USB-C Charging Cable,1.0,11.95,4,16,Tuesday,Boston,11.95
USB-C Charging Cable,2.0,11.95,4,14,Wednesday,Boston,23.9
Lightning Charging Cable,1.0,14.95,4,12,Wednesday,New York City,14.95
Lightning Charging Cable,1.0,14.95,4,18,Friday,New York City,14.95
20in Monitor,1.0,109.99,4,7,Wednesday,Boston,109.99
USB-C Charging Cable,1.0,11.95,4,10,Tuesday,Austin,11.95
AAA Batteries (4-pack),3.0,2.99,4,22,Friday,San Francisco,8.97
AA Batteries (4-pack),2.0,3.84,4,23,Saturday,New York City,7.68
34in Ultrawide Monitor,1.0,379.99,4,11,Sunday,Atlanta,379.99
AA Batteries (4-pack),1.0,3.84,4,18,Tuesday,Boston,3.84
USB-C Charging Cable,1.0,11.95,4,14,Monday,San Francisco,11.95
USB-C Charging Cable,1.0,11.95,4,9,Friday,New York City,11.95
AA Batteries (4-pack),3.0,3.84,4,16,Wednesday,Austin,11.52
